Timestamp,What week are you reporting for?,Winning Team,Winning player,Winning Player's 6 Pokemon,Losing Team,Losing player,Losing Player's 6 Pokemon,Score,Game 1 Replay (or Youtube link),Game 2 Replay (or N/A if Youtube),Game 3 Replay (or N/A if no third game or Youtube)
9/24/2022 21:22:05,Week 1,Electric - West Sea,Aaron - West Sea,Rillaboom / Urshifu-Rapid-Strike / Nihilego / Grimmsnarl / Kommo-o / Heatran,Electric - Texas Horns,Andy - Texas Horns,Indeedee-F / Hatterene / Stakataka / Landorus / Lilligant / Torkoal,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1669602895-shhpw8ct3f2misvk1x3gg6g7ztlcxsepw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1669603555-rkjrkmftxqxrqspk752c4z50iob4jz5pw,n/a
9/24/2022 22:36:33,Week 1,Fire - Ohio State,Rory - Ohio State,Kartana / Regieleki / Moltres-Galar / Dusclops / Tapu Fini / Glastrier,Fire - Penn State,EclipseOwl - Penn State,Kartana / Tapu Fini / Incineroar / Porygon2 / Raichu / Celesteela,2-1,https://replay.pokemonshowdown.com/gen8spikemuthcup-1669602582-nz8134f77xogrqj3nz706noy6ab1zk9pw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1669603094-g1ohde0zc1jtuyprqx41n30bgw4li4gpw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1669603190-3rk5sp74ac6ctvfrh68twtaq9jk5b0cpw
9/25/2022 0:01:03,Week 1,Electric - Texas Horns,TheBroham7  - Texas Horns,Rillaboom / Dragapult / Volcarona / Urshifu-Rapid-Strike / Clefairy / Celesteela,Electric - West Sea,Tatsu - West Sea,Clefairy / Rillaboom / Nihilego / Dragonite / Urshifu-Rapid-Strike / Incineroar,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1669688316-i7b8kkm84nbo34sgj8pvvtl9s22ux3kpw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1669692670-6gj26dffzweqjlceh030fxwnts2zinwpw,N/A
9/25/2022 10:21:59,Week 1,Water - International,GenericName - International,Celesteela / Regieleki / Urshifu-Rapid-Strike / Amoonguss / Incineroar / Landorus,Water - Cambridge,Ashu - Cambridge,Indeedee-F / Hatterene / Stakataka / Landorus / Lilligant / Torkoal,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1669940009-8emq37fb3rgvuqswo1o2yujp4kfb15xpw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1669940140-fkahyk9vbfzlmiza4sfw87jqb4vho7rpw,N/A
9/29/2022 9:59:34,Week 2,Water - International,Araluwen - International,Crobat / Heatran / Landorus / Urshifu-Rapid-Strike / Rillaboom / Duraludon,Water - Oxford,Lucarr10 - Oxford,Tapu Lele / Regieleki / Rillaboom / Nihilego / Urshifu-Rapid-Strike / Incineroar,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1673312312,https://replay.pokemonshowdown.com/gen8spikemuthcup-1673319029,N/A
9/29/2022 12:23:19,Week 2,Water - Cambridge,FullCrimp - Cambridge,Politoed / Zapdos / Rillaboom / Heatran / Urshifu / Grimmsnarl,Water - Northeast US,Jeremy - Northeast US,Incineroar / Landorus / Regieleki / Rillaboom / Tapu Fini / Darmanitan-Galar,2-1,https://replay.pokemonshowdown.com/gen8spikemuthcup-1673419788-r08zru3ajh68eu6diaemlk9je33y2qhpw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1673420084-qbjg39xme7b3i1gm2uge3or1iruypulpw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1673420410-i9xw3px0n28vgtahfszgrjflkt2n3j1pw
9/29/2022 12:24:50,Week 2,Water - Northeast US,Jenkins - Northeast US,Incineroar / Rillaboom / Araquanid / Porygon2 / Tapu Lele / Urshifu,Water - Cambridge,Reddo - Cambridge,Dracozolt / Tyranitar / Gyarados / Rillaboom / Heatran / Togekiss,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1673429742,https://replay.pokemonshowdown.com/gen8spikemuthcup-1673429968,N/A
9/29/2022 15:10:59,Week 2,Water - Oxford,mim - Oxford,Tapu Koko / Manectric / Hatterene / Tapu Lele / Dragonite / Reuniclus,Water - International,GenericName - International,Celesteela / Regieleki / Urshifu-Rapid-Strike / Amoonguss / Incineroar / Landorus,2-1,https://replay.pokemonshowdown.com/gen8spikemuthcup-1673549658-cvaqkgq04voc23j3pl88khi7dnu4mcnpw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1673550652-ri85etfk6gb23zb2bdw8hkpbmhaz48opw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1673550851-7y111du7kfexrsalkjnofsbxuibqc0bpw
9/29/2022 18:25:44,Week 2,Water - Cambridge,FlorenceIris - Cambridge,Tapu Fini / Incineroar / Kartana / Regieleki / Celesteela / Landorus-Therian,Water - Northeast US,PunkZard - Northeast US,Tapu Lele / Drifblim / Dracovish / Tsareena / Heatran / Urshifu-Single-Strike,2-1,https://replay.pokemonshowdown.com/gen8spikemuthcup-1673702366-ugiznqgydm0gktz4yfts29ac8jw5z4gpw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1673702578-4tn1trlvq0l5mlehznjaktb65xlvvg3pw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1673702760-tbti682k5x4fh1sz055rpt5i414ondgpw
9/29/2022 0:33:24,Week 2,Fire - Midwest,GuardianRondo - Midwest,Tyranitar / Entei / Zapdos / Mamoswine / Rillaboom / Tapu Fini,Fire - Ohio State,SnowMercury - Ohio State,Rillaboom / Incineroar / Nihilego / Urshifu-Rapid-Strike / Whimsicott / Dragapult,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1672756051,https://replay.pokemonshowdown.com/gen8spikemuthcup-1672759967,n/.a
